region,year,y,l,pop,k,labsh,sub_region,countrycode
Oceania,1992,223382.17154947916,3.136584003766378,7.216607666666666,1070905.2395833333,0.5859591364860535,NA,NA
Oceania,1993,232945.67024739584,3.1616774201393127,7.307543999999999,1093026.5263671875,0.5777046283086141,NA,NA
Oceania,1994,242322.859375,3.271950821081797,7.395805666666666,1120531.8935546875,0.5722630421320597,NA,NA
Oceania,1995,251909.1123046875,3.3957454363505044,7.481145,1148255.1080729167,0.5699618458747864,NA,NA
Oceania,1996,261721.25325520834,3.447990675767263,7.563670666666667,1177706.4873046875,0.5729289054870605,NA,NA
Oceania,1997,273004.25732421875,3.471962491671244,7.644104,1210622.853515625,0.5789180596669515,NA,NA
Oceania,1998,285369.00179036456,3.518430689970652,7.723717333333333,1242916.1513671875,0.5836010177930196,NA,NA
Oceania,1999,297154.07503255206,3.5811590353647866,7.8042066666666665,1278673.0970052083,0.5659315387407938,NA,NA
Oceania,2000,302929.5716145833,3.6703629195690155,7.887145333333333,1305509.6217447917,0.5650895436604818,NA,NA
Oceania,2001,314922.30289713544,3.7234247028827667,7.972176666666667,1336642.7858072917,0.5459811290105184,NA,NA
Oceania,2002,325147.53629557294,3.798713972171148,8.059943666666666,1374393.517578125,0.5390122334162394,NA,NA
Oceania,2003,338451.4329427083,3.88388392329216,8.154103666666666,1416767.3645833333,0.5398774941762289,NA,NA
Oceania,2004,349381.8662109375,3.962724447250366,8.259315666666668,1461073.29296875,0.5412235856056213,NA,NA
Oceania,2005,359319.1725260417,4.10045309861501,8.378499666666666,1509234.296875,0.5391921401023865,NA,NA
Oceania,2006,372488.3072916667,4.200304716825485,8.513353666666665,1557408.2200520833,0.5412764946619669,NA,NA
Oceania,2007,386027.619140625,4.3213856518268585,8.661859999999999,1610515.6907552083,0.5461246967315674,NA,NA
Oceania,2008,391768.640625,4.417149444421132,8.818599333333333,1660993.9498697917,0.5401079853375753,NA,NA
Oceania,2009,399692.5234375,4.43571612238884,8.975941666666666,1708895.0247395833,0.5429299076398214,NA,NA
Oceania,2010,408812.74609375,4.530169814825058,9.128186333333332,1757822.2317708333,0.5441412925720215,NA,NA
Oceania,2011,424186.4970703125,4.61415629585584,9.273375999999999,1815953.509765625,0.5429360071818033,NA,NA
Oceania,2012,435071.4876302083,4.65707794825236,9.412491333333334,1874516.82421875,0.5447599689165751,NA,NA
Oceania,2013,445909.3489583333,4.706440856059392,9.546345333333333,1929894.4329427083,0.5449273188908895,NA,NA
